Unnamed: 0,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,Result,Certified,agegroup,EducationLevel,placed
129459,2,1,3,4,24,323,19,23,146,285,485,6,81,1,4,2,4,5,2
134017,2,1,1,3,5,429,71,5,350,135,3220,3,9,1,1,1,2,3,2
86522,2,1,3,1,12,192,804,12,171,48,2051,2,106,1,4,2,2,2,2
138465,2,1,3,7,15,282,480,15,491,429,2428,15,32,1,1,1,2,2,1
143904,1,1,1,3,3,4,369,3,4,4,7486,1,1,1,1,1,3,2,1
118892,2,1,2,3,6,83,297,6,81,192,4989,3,3,1,1,1,3,3,1
124586,2,1,3,1,8,326,34,8,202,33,1530,12,17,17,1,1,1,2,2
136336,1,5,3,5,20,61,44,20,61,62,1362,13,7,8,1,1,3,2,2
16699,2,1,3,1,5,429,11,5,350,135,3286,3,3,1,1,1,3,5,1
57856,1,1,1,3,8,622,34,8,623,354,3000,6,6,1,4,2,3,3,2
15733,1,1,3,1,16,396,89,16,396,120,786,3,9,1,1,1,7,3,2
108864,1,1,1,3,8,300,914,8,16,16,2471,7,11,1,1,1,3,2,1
70642,1,1,1,3,8,407,310,8,91,89,1167,1,1,1,1,1,7,2,1
63936,2,1,3,1,11,141,830,11,138,134,2155,3,45,2,1,1,1,3,2
45629,2,1,1,3,5,271,283,5,219,266,3401,11,30,1,1,1,2,5,1
133,1,1,3,3,5,42,106,5,43,42,133,5,5,1,1,1,3,3,2
19050,2,1,1,5,5,180,293,5,402,371,845,21,53,1,1,1,2,2,2
70016,2,1,1,4,11,440,1021,11,433,397,2874,3,9,1,4,2,2,2,2
141424,1,1,1,3,6,79,1681,6,77,78,5362,1,1,1,1,1,4,2,1
54427,2,1,1,5,13,26,45,13,26,261,408,2,2,3,1,1,4,5,1
22908,2,1,1,1,11,93,74,7,281,267,433,12,17,1,3,2,3,3,2
50664,1,1,3,2,23,194,377,22,314,298,3495,3,20,1,4,2,6,3,2
14451,1,1,3,7,15,45,61,15,46,45,2115,30,133,2,1,1,3,3,1
25645,2,1,3,5,22,225,19,25,225,146,1976,6,6,1,3,2,2,3,2
7669,2,1,1,3,14,184,40,14,182,40,3506,11,30,1,3,2,2,5,2
58202,2,1,3,3,14,325,296,14,326,46,6667,3,20,6,1,1,4,2,1
34956,2,1,4,7,15,314,519,15,317,268,1129,12,17,1,1,1,2,2,2
12338,2,1,4,1,5,180,45,5,402,371,955,14,137,1,1,1,3,3,1
57386,2,1,4,3,5,171,1007,5,149,144,2816,10,143,1,3,2,4,2,2
135183,1,1,3,3,5,259,59,13,131,126,534,1,24,1,1,1,4,2,1
67704,1,1,4,3,7,233,74,7,235,225,1932,7,10,1,1,1,6,2,1
88705,1,1,1,5,5,144,239,5,142,138,556,1,1,1,1,1,3,2,2
50760,2,1,1,3,6,140,2067,6,137,246,6723,3,38,1,1,1,3,2,2
128897,1,1,1,1,11,559,830,11,550,188,2155,8,28,1,1,1,2,3,2
